species	units	type	ref	int	slope	quad	min.len	max.len	measure	method	comment	source
"European Perch"	metric	quadratic	75	-3.1483	1.2663	0.4291	80	460	TL	EmP	"was not in Blackwell et al. (2000)"	"Giannetto et al., 2012"
"Flannelmouth Sucker"	English	linear	75	-3.527	3.068	NA	4	NA	TL	RLP	"was not in Blackwell et al. (2000)"	"Didenko et al, 2004"
"Flannelmouth Sucker"	metric	linear	75	-5.18	3.068	NA	100	NA	TL	RLP	"was not in Blackwell et al. (2000)"	"Didenko et al, 2004"
"Flathead Catfish"	English	linear	75	-3.661	3.23	NA	5	NA	TL	RLP	"none"	"Bister et al., 2000"
"Flathead Catfish"	metric	linear	75	-5.542	3.23	NA	130	NA	TL	RLP	"none"	"Bister et al., 2000"
"Freshwater Drum"	English	linear	75	-3.575	3.204	NA	4	NA	TL	RLP	"none"	"Blackwell et al., 1995"
"Freshwater Drum"	metric	linear	75	-5.419	3.204	NA	100	NA	TL	RLP	"none"	"Blackwell et al., 1995"
"Gizzard Shad"	English	linear	75	-3.58	3.17	NA	7	NA	TL	Other	"none"	"Anderson and Gutreuter, 1983"
"Gizzard Shad"	metric	linear	75	-5.376	3.17	NA	180	NA	TL	Other	"none"	"Anderson and Gutreuter, 1983"
"Golden Shiner"	English	linear	75	-3.611	3.302	NA	2	NA	TL	RLP	"none"	"Liao et al., 1995"
"Golden Shiner"	metric	linear	75	-5.593	3.302	NA	50	NA	TL	RLP	"none"	"Liao et al., 1995"
"Golden Trout"	English	linear	75	-3.473	3.041	NA	4.75	NA	TL	RLP	"was not in Blackwell et al. (2000)"	"Hyatt and Hubert, 2000"
"Golden Trout"	metric	linear	75	-5.088	3.041	NA	120	NA	TL	RLP	"was not in Blackwell et al. (2000)"	"Hyatt and Hubert, 2000"
"Green Sunfish"	English	linear	75	-3.216	3.101	NA	2.5	NA	TL	RLP	"none"	"Bister et al., 2000"
"Green Sunfish"	metric	linear	75	-4.915	3.101	NA	60	NA	TL	RLP	"none"	"Bister et al., 2000"
"Humpback Chub"	English	linear	75	-3.586	3.096	NA	4.75	NA	TL	RLP	"was not in Blackwell et al. (2000)"	"Didenko et al, 2004"
"Humpback Chub"	metric	linear	75	-5.278	3.096	NA	120	NA	TL	RLP	"was not in Blackwell et al. (2000)"	"Didenko et al, 2004"
"Kokanee"	English	linear	75	-3.458	3.033	NA	4.75	NA	TL	RLP	"was not in Blackwell et al. (2000)"	"Hyatt and Hubert, 2000"
"Kokanee"	metric	linear	75	-5.062	3.033	NA	120	NA	TL	RLP	"was not in Blackwell et al. (2000)"	"Hyatt and Hubert, 2000"
"Lake Herring"	English	linear	75	-3.644	3.224	NA	4	NA	TL	RLP	"Same as for cisco"	"Fisher and Fielder, 1998"
"Lake herring"	metric	linear	75	-5.517	3.224	NA	100	NA	TL	RLP	"Same as for cisco"	"Fisher and Fielder, 1998"
"Lake Trout"	English	linear	75	-3.778	3.246	NA	11	NA	TL	RLP	"none"	"Piccolo et al., 1993"
"Lake Trout"	metric	linear	75	-5.681	3.246	NA	280	NA	TL	RLP	"none"	"Piccolo et al., 1993"
"Largemouth Bass"	English	linear	75	-3.587	3.273	NA	6	NA	TL	RLP	"none"	"Henson, 1991"
"Largemouth Bass"	metric	linear	75	-5.528	3.273	NA	150	NA	TL	RLP	"none"	"Henson, 1991"
"Largescale Sucker"	English	linear	75	-3.53066	3.12136	NA	6.75	25.25	TL	EmP	"was not in Blackwell et al. (2000)"	"Richter, 2007"
"Largescale Sucker"	metric	linear	75	-5.2586	3.12136	NA	170	640	TL	EmP	"was not in Blackwell et al. (2000)"	"Richter, 2007"
"Longnose Gar"	English	linear	75	-4.623	3.449	NA	8	NA	TL	RLP	"none"	"Bister et al., 2000"
"Longnose Gar"	metric	linear	75	-6.811	3.449	NA	200	NA	TL	RLP	"none"	"Bister et al., 2000"
"Marble Trout"	metric	quadratic	75	-5.208	3.202	-0.046	90	570	TL	EmP	"was not in Blackwell et al. (2000)"	"Lorenzoni et al., 2012"
"Mountain Mullet"	metric	quadratic	25	-4.985	3.047	-0.018	30	290	TL	EmP	"Quadratic term not significant; was not in Blackwell et al. (2000)"	"Cooney and Kwak, 2010"
"Mountain Mullet"	metric	quadratic	50	-4.315	2.44	0.124	30	290	TL	EmP	"was not in Blackwell et al. (2000)"	"Cooney and Kwak, 2010"
"Mountain Mullet"	metric	quadratic	75	-3.564	1.754	0.286	30	290	TL	EmP	"was not in Blackwell et al. (2000)"	"Cooney and Kwak, 2010"
"Mountain Whitefish"	English	linear	75	-3.478	3.036	NA	5.5	NA	TL	RLP	"none"	"Rogers et al., 1996"
"Mountain Whitefish"	metric	linear	75	-5.086	3.036	NA	140	NA	TL	RLP	"none"	"Rogers et al., 1996"
"Muskellunge (female)"	English	linear	75	-4.07	3.34	NA	15	NA	TL	RLP	"none"	"Neumann and Willis, 1994"
"Muskellunge (female)"	metric	linear	75	-6.105	3.34	NA	380	NA	TL	RLP	"none"	"Neumann and Willis, 1994"
"Muskellunge (male)"	English	linear	75	-3.921	3.245	NA	15	NA	TL	RLP	"none"	"Neumann and Willis, 1994"
"Muskellunge (male)"	metric	linear	75	-5.823	3.245	NA	380	NA	TL	RLP	"none"	"Neumann and Willis, 1994"
"Muskellunge (overall)"	English	linear	75	-4.052	3.325	NA	15	NA	TL	RLP	"none"	"Neumann and Willis, 1994"
"Muskellunge (overall)"	metric	linear	75	-6.066	3.325	NA	380	NA	TL	RLP	"none"	"Neumann and Willis, 1994"
"Northern Pike"	English	linear	75	-3.745	3.096	NA	4	NA	TL	RLP	"none"	"D. W. Willis"
