species,units,type,ref,measure,method,min.len,max.len,int,slope,quad,source,comment
European Perch,metric,quadratic,75,TL,EmP,80,460,-3.1483,1.2663,0.4291,Giannetto et al. (2012),none
Flannelmouth Sucker,English,linear,75,TL,RLP,4,NA,-3.527,3.068,NA,Didenko et al. (2004),none
Flannelmouth Sucker,metric,linear,75,TL,RLP,100,NA,-5.18,3.068,NA,Didenko et al. (2004),none
Flathead Catfish,English,linear,75,TL,RLP,5,NA,-3.661,3.23,NA,Bister et al. (2000),none
Flathead Catfish,metric,linear,75,TL,RLP,130,NA,-5.542,3.23,NA,Bister et al. (2000),none
Fourbarbel Scraper,metric,quadratic,75,TL,EmP,70,280,-6.743,4.768,-0.437,Emiroglu et al. (2020),only from Turkey
Freshwater Drum,English,linear,75,TL,RLP,4,NA,-3.575,3.204,NA,Blackwell et al. (1995),none
Freshwater Drum,metric,linear,75,TL,RLP,100,NA,-5.419,3.204,NA,Blackwell et al. (1995),none
Gizzard Shad,English,linear,75,TL,Other,7,NA,-3.58,3.17,NA,Anderson and Gutreuter (1983),none
Gizzard Shad,metric,linear,75,TL,Other,180,NA,-5.376,3.17,NA,Anderson and Gutreuter (1983),none
Golden Shiner,English,linear,75,TL,RLP,2,NA,-3.611,3.302,NA,Liao et al. (1995),none
Golden Shiner,metric,linear,75,TL,RLP,50,NA,-5.593,3.302,NA,Liao et al. (1995),none
Golden Trout,English,linear,75,TL,RLP,4.75,NA,-3.473,3.041,NA,Hyatt and Hubert (2000),none
Golden Trout,metric,linear,75,TL,RLP,120,NA,-5.088,3.041,NA,Hyatt and Hubert (2000),none
Green Sunfish,English,linear,75,TL,RLP,2.5,NA,-3.216,3.101,NA,Bister et al. (2000),none
Green Sunfish,metric,linear,75,TL,RLP,60,NA,-4.915,3.101,NA,Bister et al. (2000),none
Horse Barbel,metric,quadratic,75,TL,EmP,80,480,-4.9671,3.0216,-0.0095,Giannetto et al. (2015),only from Italy
Humpback Chub,English,linear,75,TL,RLP,4.75,NA,-3.586,3.096,NA,Didenko et al. (2004),none
Humpback Chub,metric,linear,75,TL,RLP,120,NA,-5.278,3.096,NA,Didenko et al. (2004),none
Kokanee,English,linear,75,TL,RLP,4.75,NA,-3.458,3.033,NA,Hyatt and Hubert (2000),none
Kokanee,metric,linear,75,TL,RLP,120,NA,-5.062,3.033,NA,Hyatt and Hubert (2000),none
Lake Herring,English,linear,75,TL,RLP,4,NA,-3.644,3.224,NA,Fisher and Fielder (1998),same as for Cisco
Lake Herring,metric,linear,75,TL,RLP,100,NA,-5.517,3.224,NA,Fisher and Fielder (1998),same as for Cisco
Lake Trout,English,linear,75,TL,RLP,11,NA,-3.778,3.246,NA,Piccolo et al. (1993),none
Lake Trout,metric,linear,75,TL,RLP,280,NA,-5.681,3.246,NA,Piccolo et al. (1993),none
Largemouth Bass,English,linear,75,TL,RLP,6,NA,-3.587,3.273,NA,Henson (1991),none
Largemouth Bass,metric,linear,75,TL,RLP,150,NA,-5.528,3.273,NA,Henson (1991),none
Largescale Sucker,English,linear,75,TL,EmP,6.75,25.25,-3.53066,3.12136,NA,Richter (2007),none
Largescale Sucker,metric,linear,75,TL,EmP,170,640,-5.2586,3.12136,NA,Richter (2007),none
Longnose Gar,English,linear,75,TL,RLP,8,NA,-4.623,3.449,NA,Bister et al. (2000),none
Longnose Gar,metric,linear,75,TL,RLP,200,NA,-6.811,3.449,NA,Bister et al. (2000),none
Marble Trout,metric,quadratic,75,TL,EmP,90,570,-5.208,3.202,-0.046,Lorenzoni et al. (2012),none
Mountain Mullet,metric,quadratic,25,TL,EmP,30,290,-4.985,3.047,-0.018,Cooney and Kwak (2010),quadratic term not significant
Mountain Mullet,metric,quadratic,50,TL,EmP,30,290,-4.315,2.44,0.124,Cooney and Kwak (2010),none
Mountain Mullet,metric,quadratic,75,TL,EmP,30,290,-3.564,1.754,0.286,Cooney and Kwak (2010),none
Mountain Whitefish,English,linear,75,TL,RLP,5.5,NA,-3.478,3.036,NA,Rogers et al. (1996),none
Mountain Whitefish,metric,linear,75,TL,RLP,140,NA,-5.086,3.036,NA,Rogers et al. (1996),none
Muskellunge (female),English,linear,75,TL,RLP,15,NA,-4.07,3.34,NA,Neumann and Willis (1994),none
Muskellunge (female),metric,linear,75,TL,RLP,380,NA,-6.105,3.34,NA,Neumann and Willis (1994),none
Muskellunge (male),English,linear,75,TL,RLP,15,NA,-3.921,3.245,NA,Neumann and Willis (1994),none
Muskellunge (male),metric,linear,75,TL,RLP,380,NA,-5.823,3.245,NA,Neumann and Willis (1994),none
Muskellunge (overall),English,linear,75,TL,RLP,15,NA,-4.052,3.325,NA,Neumann and Willis (1994),none
Muskellunge (overall),metric,linear,75,TL,RLP,380,NA,-6.066,3.325,NA,Neumann and Willis (1994),none
Nile Tilapia,metric,quadratic,75,TL,EmP,80,280,-8.7951,6.751,-0.8479,Emiroglu et al. (2018),only from Sakarya River Basin (Turkey)
Nipple-Lip Scraper,metric,quadratic,75,TL,EmP,70,360,-5.966,3.833,-0.181,Emiroglu et al. (2020),only from Turkey
Northern Pike,English,linear,75,TL,RLP,4,NA,-3.745,3.096,NA,Anderson and Neumann (1996),none
Northern Pike,metric,linear,75,TL,RLP,100,NA,-5.437,3.096,NA,Anderson and Neumann (1996),none
Northern Pikeminnow,English,linear,75,FL,RLP,10,NA,-3.328,2.986,NA,Parker et al. (1995),fork length; same as Northern Squawfish
